Codpro;Nompro;Valuni;Nrotab;Codean;Codea2;us01;us02;us03;us04;us05;us06;us07;us08;us09;us10;us11;us12;us13;us14;us15;us16;us17;us18;us19;us20;us21;us22;us23;us24;us25;us26;us27;us28;us29;us30;Tunida;U100xx;U105xx
49;Pop It Nube Nulticolor;15900;01;;.13249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Bateria Musical Fp;159900;01;7702331589379;.202731;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
51;Dobble Water Proof;89900;  ;3558380061083;.319SP433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Cubo Multiples Actividades;79900;  ;6951519533104;.16804D201A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Cubo Multiples Actividades Mico;79900;  ;6951519533203;.16804D201B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Espejo Para Bebe Multiples Funciones Mic;99900;  ;6951519535108;.16804D202A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Espejo Para Bebe Multiples Funciones Ele;99900;  ;6951519535207;.16804D202B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Bolita Vibradora 12 Cm. Elefante;74900;01;6951519528100;.16804D203A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Bolita Vibradora 12 Cm. Perro;74900;01;6951519528209;.16804D203B;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
58;Mico Con Aros Clip Y Mordedora;74900;  ;6951519541208;.16804D204B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Solo Ping Pong;42900;  ;6900790200007;.16807D902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Juegos Para Exterior 5 En 1;99900;  ;6900790400001;.16807D904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Juegos Para Exterior 3 En 1;66900;01;6900790600005;.16807D906;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
62;Bloques De Armar Avion X 63 Piezas;24900;  ;6605884459582;.16809D742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Bloques De Armar Jeep Safari;24900;01;6605884459599;.16809D743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Bloques De Armar Helicoptero Rescate;89900;01;6605884459650;.16809D749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Perezosos;109900;  ;887961796230;.202101828464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Por El Camino;74900;01;;.58760-0204;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;
67;Trivia Colombiana;119900;  ;1033354250974;.202103994968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Pop It Barco Multicolor;15900;  ;;.13268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Pop It Tren Multicolor;15900;01;;.13269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Pop It Flor Multicolor;15900;  ;;.13270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;Pop It Manzana Multicolor;15900;  ;;.13271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Pop It Control Multicolor;15900;  ;;.13272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Pop It Estrella Multicolor;15900;01;;.13273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Pop It Bal¢n Multicolor;15900;  ;;.13274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Pop It Caballos Multicolor;15900;01;;.13275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Pop It Cola De Sirena Multicolor;15900;01;;.13276;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
77;Pop It Arco Iris Multicolor;15900;  ;;.13277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;Libro Busca Y Encuentra Animales;79900;  ;9789962047179;.216TTBEA1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Libro Busca Y Encuentra Bajo El Mar;79900;  ;9789962047193;.216TTBEM1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Libro Busca Y Encuentra Dinosaurios;79900;  ;9789962047186;.216TTBED1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Libro Mis Primeros N£meros Felpa;72900;01;9789962047575;.711IGFAN1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Libro Mis Primeros Colores Felpa;59900;  ;9789962047551;.216IGFCO1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Libro Hora De Jugar Ba§o N£meros;49900;01;9788538091530;.216CIBNU1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;
84;Libro Hora De Jugar Ba§o Palabras;49900;01;9788538091547;.216CIBPA1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;
85;Libro Hora De Jugar Ba§o De Colores;49900;01;9788538091523;.216CIBCO1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;
86;Libro Animales De La Granja Pop Up;39900;  ;9788467762792;.216SUPUG1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Libro Animales Salvajes Pop Up;39900;  ;9788467762785;.216SUPUS1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Libro Mira Descubre Selva;39900;  ;9788538086222;.216CIMDS1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Libro Juegos Mentales;99900;01;9789962045694;.216AZPJM1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;M. 1:64 Lamborghini Azul;8900;  ;;.55790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Libro Sonidos De Animales;89900;  ;9789962046356;.216AZSOA1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Libro Amigos De La Granja;36900;  ;9788538086567;.216CIMAG1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Libro Amigos De La Selva;36900;  ;9788538086598;.216CIMAS1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Libro Amigos Del Jardin;36900;  ;9788538086574;.216CIMAJ1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
